Engine Capacity (liters),Cylinders,Drive Type,Fuel Type,Horsepower (bhp),Torque (Nm),Transmission,Seating Capacity,Length (meters),Width (meters),Height (meters),Wheelbase (meters),Trunk Capacity (liters),ABS (Anti-lock Brake System),Airbags,Anti theft alarm,BA (Brake Assist),Collision Detection,Differential Lock,EBD (Electronic Brakeforce Distribution),Fire Extinguisher,First Aid Kit,Gas Shock Absorber,Hill Assist,Hill Descent Control ,Immobilizer,ISO Fix Child Seat Anchors,Lane Departure Warning,Multi Terrain Select,Parking Sensors - Front and Rear,Pedestrian airbag,Rear Camera,Surround Camera,Tire Pressure Monitoring Display,Traction Control,Variable Cylinder Management (VCM),Center Arm Rest,Central Locking,Electric Sunroof,Foldable Rear Seats with 60:40 Split,Leather Seats,Multi Information Display,Panoramic Glass Roof,Power Steering,Rear Lcd screens,Steering Tilt Adjustment,Acoustic Hood,Aluminum Wheels,Auto Headlamps,Chrome Door Handles,Chrome Exhaust Pipes,Daytime Running Lights - LED,Door Reflectors,Dual Exhaust Tip,Electric Door Mirrors,Fog Lamp - Front and Rear,Front Brakes - Ventilated Discs,LED foglights,LED Headlights,LED Taillights,Off-Road Dampers,Power Tailgate,Power Windows - Front and Rear,Wheels - Alloy,Wind Blocker,Active Steering,Automatic AC,AUX,Bluetooth,HDMI,Keyless Entry,MP3,Push Button Start,Rain Sensing Wipers,Touchscreen ,USB,Wireless Headphones,Sell your car 100% absolutely free on YallaMotor.,200+ Cars Sold Everyday.,"115,000+  Satisfied Sellers.","500,000+  Monthly Buyers.",name,price,currency,country
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ford Taurus 2021 2.0L EcoBoost Trend ,"135,174",SAR,ksa
2.0,4,Front Wheel Drive,Petrol,240,366,Automatic,5 Seater,2.177,1.541,2.868,569,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0
1400,4,Front Wheel Drive,Petrol,150,250,Automatic,5 Seater,1.839,1.674,2.790,760,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,Seat Tarraco 2021 1.4T FR,"685,000",EGP,egypt
0.0,"N/A, Electric",All Wheel Drive,Electric,473,0,Automatic,5 Seater,1.850,1.440,2.880,425,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,Tesla Model 3 2021 Performance (AWD),"224,990",AED,uae
3.8,6,Front Wheel Drive,Petrol,295,355,Automatic,8 Seater,1.975,1.750,2.900,,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,Hyundai Palisade 2021 3.8L GDi (FWD) Comfort,"10,750",KWD,kuwait
2.0,4,Front Wheel Drive,Petrol,152,192,Automatic,5 Seater,1.800,1.440,2.700,427,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,Kia Cerato 2021 2.0L SX,"76,000",AED,uae
5.3,8,All Wheel Drive,Petrol,355,519,Automatic,9 Seater,2.057,1.927,3.070,1461,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,Chevrolet Tahoe 2021 5.3L Premium  4WD ,"264,200",AED,uae
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.7,4,Rear Wheel Drive,Petrol,164,250,Automatic,7 Seater,1.830,1.795,2.750,184,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,Toyota Innova 2021 2.7L Limited,"8,000",KWD,kuwait
3.5,6,Rear Wheel Drive,Petrol,416,600,Automatic,4 Seater,1.900,1.450,3.125,480,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,Lexus LS 2021 500 Titanium,"475,000",AED,uae
3.8,6,All Wheel Drive,Petrol,560,700,Automatic,4 Seater,1.880,1.296,2.450,115,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,Porsche 911 2021 Turbo S,"58,000",KWD,kuwait
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0,4,Front Wheel Drive,Petrol,148,204,Automatic,5 Seater,4.525 ,1.845 ,1.615 ,2.700 ,342,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,Bestune T77 2021 1.2T Comfort,"5,100",KWD,kuwait
6.3,12,All Wheel Drive,Petrol,690,697,Automatic,4 Seater,1.980,1.383,2.990,450,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,Ferrari GTC4Lusso 2021 6.3L V12,DISCONTINUED,SAR,ksa
2981,6,Rear Wheel Drive,Petrol,385,450,Automatic,4 Seater,1.852,1.298,2.450,132,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,Porsche 911 2021 Carrera,"2,677,560",EGP,egypt
2.5,4,Front Wheel Drive,Petrol,170,233,Automatic,5 Seater,1.843,1.673,2.705,530,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,Renault Koleos 2021 2.5L PE,"6,500",OMR,oman
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.9,6,All Wheel Drive,Petrol,440,550,Automatic,5 Seater,1.983,1.676,2.895,625,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,Porsche Cayenne Coupe 2021 S,"452,014",SAR,ksa
2.0,4,All Wheel Drive,Petrol,246,365,Automatic,5 Seater,2.070,1.664,2.874,650,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,Jaguar F-Pace 2021 2.0T SE (250 PS),"17,300",KWD,kuwait
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,N/A,Rear Wheel Drive,Petrol,200,205,Automatic,4 Seater,1.775,1.285,2.570,195,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,Subaru BRZ 2021 2.0L A/T,"8,199",KWD,kuwait
1.5,4,Front Wheel Drive,Petrol,103,138,Automatic,7 Seater,1.695,1.685,2.740,135,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,Suzuki Ertiga 2021 1.5L GL,"5,700",OMR,oman
2.5,4,All Wheel Drive,Petrol,168,235,Automatic,5 Seater,1.796,1.686,2.640,974,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,Subaru Forester 2021 2.5i Sport,"9,000",KWD,kuwait
3.0,6,Rear Wheel Drive,Petrol,320,450,Automatic,5 Seater,1.894,1.392,2.969,460,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,BMW 6 Series Gran Coupe 2021 640i,"37,000",OMR,oman
